IdOperacion;FECHA_INICIO;FECHA_FIN;IdUsuario;IdTipoOperacion;NoOperacion;Importe;Estado
OPE001;07/04/2024 01:47;07/04/2024 03:22;USER008;COMPRA05;1;.00€;Finalizado
OPE002;07/04/2024 01:47;07/04/2024 22:29;USER004;COMPRA05;2;.00€;Error
OPE003;07/04/2024 01:47;07/04/2024 04:01;USER009;COMPRA05;3;.00€;Finalizado
OPE004;07/04/2024 01:47;07/04/2024 16:09;USER007;COMPRA05;4;.00€;Finalizado
OPE005;07/04/2024 01:47;07/04/2024 17:51;USER002;COMPRA05;5;.00€;Correcto
OPE006;07/04/2024 01:47;07/04/2024 12:02;USER001;COMPRA05;6;.00€;Finalizado
OPE007;07/04/2024 01:47;07/04/2024 14:38;USER002;COMPRA05;7;.00€;Correcto
OPE008;07/04/2024 01:47;07/04/2024 04:18;USER0010;COMPRA05;8;.00€;Error
OPE009;07/04/2024 01:47;07/04/2024 17:50;USER001;COMPRA05;9;.00€;Finalizado
OPE0010;07/04/2024 01:47;07/04/2024 13:49;USER001;COMPRA05;10;.00€;Error
OPE0011;07/04/2024 01:47;07/04/2024 03:36;USER009;COMPRA05;11;.00€;Finalizado
OPE0012;07/04/2024 01:47;07/04/2024 13:17;USER003;COMPRA05;12;.00€;Correcto
OPE0013;07/04/2024 01:47;07/04/2024 05:09;USER007;COMPRA05;13;.00€;Error
OPE0014;07/04/2024 01:47;07/04/2024 16:30;USER006;COMPRA05;14;.00€;Error
OPE0015;07/04/2024 01:47;07/04/2024 14:25;USER009;COMPRA05;15;.00€;Finalizado
OPE0016;07/04/2024 01:47;07/04/2024 09:26;USER005;COMPRA05;16;.00€;Finalizado
OPE0017;07/04/2024 01:47;07/04/2024 16:25;USER007;COMPRA05;17;.00€;Error
OPE0018;07/04/2024 01:47;07/04/2024 21:11;USER005;COMPRA05;18;.00€;Correcto
OPE0019;07/04/2024 01:47;07/04/2024 02:01;USER008;COMPRA05;19;.00€;Error
OPE0020;07/04/2024 01:47;07/04/2024 11:19;USER007;COMPRA05;20;.00€;Finalizado
OPE0021;07/04/2024 01:47;07/04/2024 11:36;USER003;COMPRA05;21;.00€;Finalizado
OPE0022;07/04/2024 01:47;07/04/2024 00:58;USER009;COMPRA05;22;.00€;Finalizado
OPE0023;07/04/2024 01:47;07/04/2024 05:49;USER007;COMPRA05;23;.00€;Error
OPE0024;07/04/2024 01:47;07/04/2024 10:33;USER003;COMPRA05;24;.00€;Finalizado
OPE0025;07/04/2024 01:47;07/04/2024 22:45;USER0010;COMPRA05;25;.00€;Error
OPE0026;07/04/2024 01:47;07/04/2024 02:00;USER008;COMPRA05;26;.00€;Correcto
OPE0027;07/04/2024 01:47;07/04/2024 02:53;USER006;COMPRA05;27;.00€;Correcto
OPE0028;07/04/2024 01:47;07/04/2024 04:17;USER008;COMPRA05;28;.00€;Correcto
OPE0029;07/04/2024 01:47;07/04/2024 13:51;USER0010;COMPRA05;29;.00€;Finalizado
OPE0030;07/04/2024 01:47;07/04/2024 02:38;USER003;COMPRA05;30;.00€;Finalizado
OPE0031;07/04/2024 01:47;07/04/2024 12:54;USER001;COMPRA05;31;.00€;Correcto
OPE0032;07/04/2024 01:47;07/04/2024 18:19;USER003;COMPRA05;32;.00€;Correcto
