IdOperacion;FECHA_INICIO;FECHA_FIN;IdUsuario;IdTipoOperacion;NoOperacion;Importe;Estado
OPE001;21/03/2024 19:44;12/04/2024 03:06;USER009;COMPRA01;1;.00€;Correcto
OPE002;21/03/2024 19:44;12/04/2024 01:17;USER003;COMPRA01;2;.00€;Error
OPE003;21/03/2024 19:44;12/04/2024 12:52;USER007;COMPRA01;3;.00€;Correcto
OPE004;21/03/2024 19:44;12/04/2024 10:57;USER002;COMPRA01;4;.00€;Error
OPE005;21/03/2024 19:44;12/04/2024 05:00;USER003;COMPRA01;5;.00€;Finalizado
OPE006;21/03/2024 19:44;12/04/2024 03:28;USER007;COMPRA01;6;.00€;Error
OPE007;21/03/2024 19:44;12/04/2024 20:13;USER007;COMPRA01;7;.00€;Error
OPE008;21/03/2024 19:44;12/04/2024 05:16;USER007;COMPRA01;8;.00€;Finalizado
OPE009;21/03/2024 19:44;12/04/2024 12:18;USER006;COMPRA01;9;.00€;Error
OPE0010;21/03/2024 19:44;12/04/2024 07:44;USER008;COMPRA01;10;.00€;Error
OPE0011;21/03/2024 19:44;12/04/2024 15:33;USER008;COMPRA01;11;.00€;Correcto
OPE0012;21/03/2024 19:44;12/04/2024 10:19;USER008;COMPRA01;12;.00€;Error
OPE0013;21/03/2024 19:44;12/04/2024 11:50;USER0010;COMPRA01;13;.00€;Error
OPE0014;21/03/2024 19:44;12/04/2024 13:55;USER001;COMPRA01;14;.00€;Finalizado
OPE0015;21/03/2024 19:44;12/04/2024 10:41;USER003;COMPRA01;15;.00€;Correcto
OPE0016;21/03/2024 19:44;12/04/2024 18:32;USER007;COMPRA01;16;.00€;Error
OPE0017;21/03/2024 19:44;12/04/2024 14:17;USER008;COMPRA01;17;.00€;Correcto
OPE0018;21/03/2024 19:44;12/04/2024 20:35;USER005;COMPRA01;18;.00€;Correcto
OPE0019;21/03/2024 19:44;12/04/2024 11:29;USER002;COMPRA01;19;.00€;Correcto
OPE0020;21/03/2024 19:44;12/04/2024 05:58;USER007;COMPRA01;20;.00€;Correcto
OPE0021;21/03/2024 19:44;12/04/2024 07:52;USER005;COMPRA01;21;.00€;Correcto
OPE0022;21/03/2024 19:44;12/04/2024 06:19;USER004;COMPRA01;22;.00€;Finalizado
OPE0023;21/03/2024 19:44;12/04/2024 00:54;USER007;COMPRA01;23;.00€;Correcto
OPE0024;21/03/2024 19:44;12/04/2024 12:04;USER009;COMPRA01;24;.00€;Error
OPE0025;21/03/2024 19:44;12/04/2024 11:39;USER006;COMPRA01;25;.00€;Error
OPE0026;21/03/2024 19:44;12/04/2024 11:53;USER003;COMPRA01;26;.00€;Error
OPE0027;21/03/2024 19:44;12/04/2024 05:39;USER007;COMPRA01;27;.00€;Finalizado
OPE0028;21/03/2024 19:44;12/04/2024 07:19;USER0010;COMPRA01;28;.00€;Error
OPE0029;21/03/2024 19:44;12/04/2024 23:40;USER003;COMPRA01;29;.00€;Correcto
OPE0030;21/03/2024 19:44;12/04/2024 07:12;USER007;COMPRA01;30;.00€;Error
OPE0031;21/03/2024 19:44;12/04/2024 18:21;USER005;COMPRA01;31;.00€;Finalizado
OPE0032;21/03/2024 19:44;12/04/2024 01:47;USER0010;COMPRA01;32;.00€;Finalizado
OPE0033;21/03/2024 19:44;12/04/2024 14:58;USER0010;COMPRA01;33;.00€;Correcto
OPE0034;21/03/2024 19:44;12/04/2024 01:47;USER006;COMPRA01;34;.00€;Error
OPE0035;21/03/2024 19:44;12/04/2024 21:29;USER004;COMPRA01;35;.00€;Correcto
OPE0036;21/03/2024 19:44;12/04/2024 02:33;USER004;COMPRA01;36;.00€;Finalizado
OPE0037;21/03/2024 19:44;12/04/2024 09:33;USER004;COMPRA01;37;.00€;Finalizado
OPE0038;21/03/2024 19:44;12/04/2024 10:25;USER009;COMPRA01;38;.00€;Correcto
OPE0039;21/03/2024 19:44;12/04/2024 08:17;USER007;COMPRA01;39;.00€;Correcto
OPE0040;21/03/2024 19:44;12/04/2024 15:04;USER001;COMPRA01;40;.00€;Correcto
OPE0041;21/03/2024 19:44;12/04/2024 01:12;USER008;COMPRA01;41;.00€;Correcto
OPE0042;21/03/2024 19:44;12/04/2024 07:17;USER001;COMPRA01;42;.00€;Error
OPE0043;21/03/2024 19:44;12/04/2024 02:09;USER008;COMPRA01;43;.00€;Finalizado
